iter	Passed	Remaining
0	1	126
1	2	119
2	3	109
3	4	101
4	5	98
5	6	98
6	7	98
7	8	98
8	9	97
9	10	96
10	11	96
11	13	95
12	14	94
13	15	94
14	16	92
15	17	91
16	18	90
17	19	89
18	21	90
19	22	89
20	23	88
21	24	86
22	25	85
23	26	84
24	27	82
25	28	81
26	29	80
27	30	79
28	31	77
29	32	76
30	33	75
31	35	75
32	36	74
33	37	73
34	38	72
35	40	71
36	41	70
37	42	68
38	43	67
39	44	66
40	45	64
41	45	62
42	46	61
43	47	60
44	48	59
45	49	58
46	50	57
47	51	56
48	52	54
49	53	53
50	54	52
51	55	51
52	56	50
53	58	49
54	58	48
55	59	47
56	60	45
57	62	45
58	63	44
59	64	43
60	65	42
61	66	40
62	67	39
63	69	38
64	70	37
65	71	36
66	72	35
67	73	34
68	74	33
69	76	32
70	77	31
71	78	30
72	79	29
73	80	28
74	81	27
75	82	26
76	83	25
77	84	23
78	85	22
79	87	21
80	88	20
81	89	19
82	90	18
83	91	17
84	92	16
85	93	15
86	94	14
87	95	13
88	96	11
89	97	10
90	98	9
91	99	8
92	100	7
93	101	6
94	102	5
95	104	4
96	105	3
97	106	2
98	107	1
99	108	0
