iter	Passed	Remaining
0	158	158369
1	164	82109
2	166	55493
3	169	42130
4	171	34090
5	173	28732
6	175	24885
7	177	21986
8	179	19753
9	181	17922
10	182	16418
11	184	15159
12	186	14190
13	194	13689
14	196	12928
15	198	12217
16	200	11578
17	203	11129
18	207	10689
19	216	10616
20	218	10188
21	225	10043
22	227	9677
23	229	9332
24	230	9006
25	232	8710
26	234	8457
27	236	8217
28	238	7983
29	240	7767
30	241	7560
31	244	7394
32	246	7228
33	248	7064
34	250	6899
35	252	6748
36	253	6604
37	256	6503
38	258	6373
39	259	6239
40	262	6140
41	267	6112
42	269	6006
43	273	5937
44	277	5882
45	278	5784
46	284	5766
47	289	5735
48	292	5675
49	294	5596
50	296	5515
51	298	5439
52	299	5359
53	302	5295
54	310	5332
55	311	5258
56	313	5187
57	315	5127
58	318	5078
59	320	5014
60	321	4955
61	323	4894
62	325	4839
63	327	4793
64	332	4783
65	335	4753
66	338	4709
67	340	4665
68	342	4622
69	350	4656
70	352	4614
71	355	4576
72	366	4659
73	374	4680
74	376	4640
75	379	4615
76	381	4578
77	384	4543
78	386	4506
79	388	4470
80	392	4455
81	396	4441
82	398	4397
83	399	4359
84	413	4453
85	429	4569
86	457	4798
87	460	4768
88	465	4764
89	467	4728
90	469	4693
91	473	4672
92	475	4640
93	480	4630
94	482	4599
95	487	4589
96	490	4564
97	493	4541
98	495	4506
99	496	4470
100	498	4436
101	501	4415
102	509	4435
103	511	4410
104	513	4380
105	515	4351
106	517	4319
107	519	4286
108	521	4259
109	524	4241
110	525	4212
111	527	4182
112	528	4149
113	531	4129
114	544	4186
115	546	4162
116	547	4134
117	549	4110
118	556	4120
119	558	4092
120	561	4076
121	572	4123
122	576	4109
123	579	4090
124	580	4066
125	582	4041
126	585	4021
127	588	4010
128	590	3990
129	595	3986
130	600	3982
131	602	3961
132	604	3941
133	606	3919
134	608	3895
135	609	3871
136	610	3848
137	613	3832
138	615	3812
139	617	3791
140	620	3781
141	623	3765
142	626	3755
143	629	3742
144	631	3724
145	633	3704
146	634	3684
147	636	3663
148	637	3643
149	639	3623
150	641	3607
151	643	3588
152	644	3569
153	646	3553
154	650	3548
155	655	3544
156	663	3561
157	665	3546
158	678	3588
159	693	3638
160	695	3623
161	696	3605
162	704	3617
163	707	3604
164	717	3628
165	718	3611
166	720	3593
167	722	3575
168	723	3559
169	725	3542
170	727	3525
171	729	3513
172	731	3497
173	733	3481
174	734	3464
175	746	3496
176	749	3483
177	750	3467
178	752	3450
179	755	3441
180	757	3426
181	758	3410
182	760	3395
183	762	3381
184	764	3368
185	768	3362
186	771	3352
187	778	3361
188	780	3351
189	783	3338
190	785	3325
191	787	3315
192	789	3302
193	791	3287
194	792	3272
195	794	3259
196	796	3247
197	799	3238
198	807	3251
199	810	3242
200	813	3233
201	814	3219
202	817	3207
203	818	3195
204	820	3182
205	823	3172
206	824	3160
207	826	3148
208	829	3141
209	840	3163
210	843	3153
211	845	3143
212	861	3184
213	864	3174
214	869	3173
215	873	3169
216	875	3160
217	878	3150
218	880	3139
219	885	3141
220	888	3130
221	890	3122
222	895	3118
223	897	3108
224	901	3106
225	904	3098
226	906	3086
227	908	3077
228	916	3085
229	918	3075
230	922	3071
231	928	3073
232	930	3063
233	952	3117
234	977	3181
235	979	3171
236	981	3160
237	983	3148
238	993	3164
239	995	3153
240	997	3142
241	1003	3144
242	1007	3137
243	1009	3128
244	1012	3119
245	1018	3122
246	1025	3127
247	1028	3118
248	1032	3113
249	1036	3109
250	1038	3099
251	1043	3096
252	1063	3139
253	1066	3133
254	1071	3130
255	1073	3120
256	1076	3111
257	1079	3105
258	1082	3098
259	1090	3102
260	1092	3094
261	1095	3084
262	1098	3079
263	1101	3070
264	1102	3059
265	1105	3049
266	1106	3038
267	1114	3044
268	1117	3036
269	1119	3026
270	1122	3020
271	1125	3011
272	1134	3021
273	1138	3015
274	1145	3021
275	1152	3023
276	1154	3014
277	1156	3004
278	1159	2996
279	1161	2987
280	1163	2978
281	1166	2969
282	1168	2959
283	1170	2950
284	1172	2941
285	1180	2948
286	1196	2972
287	1201	2970
288	1205	2966
289	1208	2957
290	1210	2950
291	1223	2965
292	1224	2955
293	1235	2966
294	1237	2956
295	1238	2945
296	1240	2935
297	1241	2924
298	1242	2914
299	1244	2904
300	1246	2894
301	1259	2911
302	1261	2901
303	1282	2935
304	1283	2925
305	1295	2939
306	1356	3061
307	1359	3053
308	1362	3045
309	1363	3035
310	1370	3037
311	1372	3026
312	1376	3020
313	1380	3017
314	1383	3007
315	1385	2998
316	1388	2990
317	1393	2988
318	1397	2983
319	1399	2974
320	1402	2967
321	1404	2957
322	1406	2948
323	1410	2943
324	1413	2936
325	1425	2947
326	1428	2940
327	1433	2936
328	1435	2927
329	1449	2943
330	1451	2933
331	1453	2925
332	1456	2916
333	1458	2909
334	1461	2902
335	1464	2893
336	1465	2883
337	1469	2877
338	1480	2887
339	1483	2880
340	1485	2870
341	1486	2860
342	1489	2853
343	1491	2844
344	1494	2836
345	1496	2827
346	1498	2819
347	1502	2815
348	1504	2806
349	1508	2801
350	1510	2792
351	1512	2784
352	1514	2775
353	1515	2766
354	1518	2759
355	1520	2750
356	1522	2742
357	1524	2733
358	1526	2725
359	1530	2720
360	1532	2711
361	1533	2703
362	1537	2698
363	1539	2690
364	1542	2683
365	1546	2678
366	1549	2671
367	1550	2663
368	1552	2655
369	1554	2647
370	1557	2640
371	1560	2633
372	1561	2625
373	1563	2617
374	1566	2610
375	1569	2604
376	1571	2596
377	1572	2588
378	1574	2579
379	1579	2577
380	1581	2568
381	1582	2560
382	1585	2553
383	1591	2552
384	1593	2544
385	1594	2537
386	1596	2529
387	1598	2521
388	1602	2516
389	1604	2508
390	1605	2500
391	1606	2492
392	1608	2484
393	1610	2476
394	1612	2469
395	1613	2461
396	1616	2454
397	1619	2448
398	1620	2441
399	1622	2433
400	1623	2425
401	1625	2417
402	1627	2410
403	1629	2403
404	1630	2396
405	1632	2388
406	1633	2380
407	1635	2372
408	1636	2365
409	1638	2357
410	1640	2350
411	1643	2345
412	1646	2340
413	1648	2333
414	1650	2326
415	1651	2318
416	1653	2311
417	1654	2303
418	1656	2297
419	1658	2289
420	1659	2282
421	1661	2275
422	1663	2268
423	1664	2261
424	1666	2254
425	1669	2250
426	1671	2243
427	1673	2237
428	1675	2230
429	1677	2224
430	1680	2218
431	1682	2212
432	1684	2205
433	1686	2199
434	1688	2192
435	1690	2187
436	1693	2182
437	1695	2175
438	1697	2169
439	1699	2162
440	1701	2156
441	1704	2152
442	1706	2146
443	1708	2140
444	1711	2134
445	1713	2128
446	1715	2122
447	1717	2116
448	1719	2109
449	1726	2110
450	1728	2104
451	1730	2097
452	1732	2091
453	1735	2087
454	1737	2081
455	1739	2075
456	1741	2068
457	1742	2062
458	1744	2055
459	1745	2049
460	1747	2043
461	1749	2036
462	1750	2030
463	1753	2025
464	1755	2019
465	1757	2013
466	1758	2007
467	1760	2001
468	1763	1996
469	1770	1996
470	1772	1991
471	1774	1985
472	1776	1979
473	1778	1973
474	1780	1967
475	1781	1961
476	1783	1955
477	1785	1950
478	1788	1945
479	1789	1938
480	1791	1932
481	1792	1926
482	1794	1920
483	1799	1918
484	1801	1912
485	1802	1906
486	1804	1900
487	1806	1895
488	1808	1889
489	1809	1883
490	1811	1877
491	1813	1871
492	1815	1866
493	1817	1861
494	1821	1858
495	1823	1852
496	1825	1847
497	1829	1844
498	1831	1838
499	1833	1833
500	1835	1827
501	1836	1822
502	1838	1816
503	1840	1810
504	1841	1805
505	1843	1799
506	1844	1793
507	1849	1791
508	1851	1785
509	1852	1780
510	1855	1775
511	1857	1770
512	1859	1765
513	1863	1762
514	1865	1756
515	1867	1751
516	1869	1746
517	1870	1740
518	1872	1735
519	1873	1729
520	1875	1724
521	1877	1719
522	1878	1713
523	1881	1708
524	1883	1704
525	1885	1699
526	1893	1699
527	1895	1694
528	1897	1689
529	1898	1683
530	1899	1677
531	1901	1672
532	1903	1667
533	1905	1663
534	1907	1657
535	1910	1653
536	1912	1649
537	1914	1643
538	1916	1638
539	1917	1633
540	1920	1629
541	1922	1624
542	1923	1618
543	1925	1613
544	1926	1608
545	1928	1603
546	1930	1598
547	1931	1593
548	1933	1588
549	1934	1582
550	1935	1577
551	1937	1572
552	1938	1567
553	1943	1564
554	1945	1559
555	1947	1554
556	1948	1549
557	1950	1544
558	1951	1539
559	1953	1534
560	1954	1529
561	1956	1524
562	1957	1519
563	1959	1514
564	1960	1509
565	1962	1504
566	1963	1499
567	1965	1494
568	1966	1489
569	1968	1484
570	1971	1481
571	1973	1476
572	1975	1472
573	1976	1467
574	1978	1462
575	1980	1457
576	1982	1453
577	1984	1448
578	1985	1443
579	1986	1438
580	1988	1433
581	1990	1429
582	1991	1424
583	1993	1419
584	1994	1415
585	1996	1410
586	2005	1410
587	2007	1406
588	2008	1401
589	2010	1397
590	2012	1392
591	2014	1388
592	2015	1383
593	2017	1379
594	2019	1374
595	2020	1369
596	2022	1365
597	2024	1360
598	2025	1356
599	2027	1351
600	2031	1349
601	2034	1345
602	2035	1340
603	2037	1336
604	2040	1332
605	2043	1328
606	2044	1323
607	2046	1319
608	2047	1314
609	2049	1310
610	2050	1305
611	2052	1301
612	2053	1296
613	2056	1292
614	2058	1288
615	2060	1284
616	2064	1281
617	2065	1277
618	2067	1272
619	2069	1268
620	2071	1264
621	2073	1260
622	2075	1255
623	2076	1251
624	2078	1247
625	2080	1243
626	2081	1238
627	2083	1234
628	2084	1229
629	2087	1226
